id,Body Mass (g)
0,3985.7085
1,5422.317
2,3337.653
3,3496.2295
4,3394.415
5,3853.1982
6,4636.931
7,5435.027
8,4700.603
9,4166.985
10,4059.0088
11,4650.4424
12,4660.9307
13,4619.648
14,5405.1846
15,5356.0415
16,3823.0713
17,4002.8022
18,3513.245
19,3526.158
20,4241.4756
21,5378.7983
22,5455.57
23,3981.3965
24,3476.4553
25,4658.82
26,3525.0322
27,3946.3806
28,4292.987
29,4663.3726
30,3537.048
31,4657.3354
32,3490.6162
33,4679.4663
34,3877.4673
35,3623.9382
36,4623.5303
37,3439.5012
38,4226.9844
39,4597.3574
40,4112.6465
41,3404.2222
42,4142.988
43,5340.1714
44,3587.106
45,4620.0913
46,3557.7773
47,4228.557
48,4660.929
49,5398.8203
50,3328.8728
51,4199.7554
52,3302.1318
53,4004.688
54,4077.5461
55,3932.2632
56,4611.519
57,4206.4185
58,4655.0825
59,3528.605
60,3825.1135
61,3412.9883
62,3866.0615
63,5357.15
64,3336.5713
65,4058.6135
66,4031.2913
67,4574.2075
68,4049.2156
69,3958.041
70,4598.5444
71,3414.0215
72,3562.9226
73,3509.6477
74,5414.0293
75,3997.4146
76,3297.3765
77,3961.3994
78,5244.7085
79,4645.982
80,4067.8862
81,3327.085
82,4103.246
83,4670.391
84,5344.808
85,4069.2192
86,5348.8857
87,4011.081
88,3311.391
89,5294.2603
90,4570.836
91,3557.1619
92,3416.3096
93,3575.6016
94,3528.0781
95,3511.689
96,3426.2266
97,3301.912
98,4701.0483
99,3981.4292
100,3305.0903
101,3475.154
102,3407.64
103,5369.849
104,5439.005
105,3470.5972
106,5356.928
107,5434.095
108,3965.0967
109,3410.6206
110,4616.2563
111,3521.8706
112,4026.292
113,4200.2114
114,5443.989
115,3996.545
116,3326.0312
117,3508.249
118,4012.9604
119,4066.8313
120,3910.52
121,5378.0464
122,3420.062
123,4196.7993
124,4023.465
125,4002.249
126,5417.978
127,4247.494
128,3317.1533
129,3531.624
130,4017.4177
131,4021.65
132,5390.853
133,5352.1543
134,5319.2314
135,4163.5845
136,3429.87
137,3571.918
138,4610.9575
139,3484.8735
140,3965.5442
141,4606.791
142,3311.9563
143,3301.6304
144,4095.3662
145,3494.9915
146,4657.466
147,3446.3594
148,5352.558
149,4264.0063
150,5479.485
151,3519.4712
152,4545.941
153,5431.142
154,3923.038
155,5363.0127
156,3313.5215
157,4013.285
158,3313.9253
159,3629.8389
160,3945.0786
161,3502.492
162,3448.1187
163,3328.5024
164,5323.14
165,3406.0967
166,5403.031
167,4668.482
168,3969.8943
169,4260.9937
170,5333.291
171,3499.4578
172,5452.8696
173,3302.8767
174,3590.0027
175,4033.7947
176,4088.8547
177,4636.0005
178,5394.4575
179,3501.9365
180,3982.9883
181,3894.5146
182,3919.8037
183,4067.5732
184,4647.819
185,4243.396
186,4651.3013
187,5399.9043
188,3306.9197
189,3263.5825
190,3997.358
191,3533.2192
192,3495.5283
193,4101.3037
194,4661.2656
195,5371.441
196,4161.487
197,5503.6973
198,3386.418
199,3301.5723
200,3973.6184
201,4663.057
202,4025.3853
203,4681.4087
204,4127.6094
205,3569.474
206,3502.7256
207,3900.4663
208,4589.5923
209,4622.614
210,3459.6802
211,3569.4883
212,3589.941
213,3423.3262
214,3514.5095
215,3958.8384
216,5403.233
217,3510.2705
218,4017.2764
219,4183.818
220,3384.4194
221,3318.597
222,4650.1655
223,4000.7646
224,4631.489
225,4690.933
226,3967.9104
227,4206.8687
