id,Body Mass (g)
0,4312.418003976576
1,5706.471993966803
2,3594.4684712696308
3,3382.811418321134
4,3405.9835073175104
5,4127.583182795274
6,4528.693943873446
7,5284.8203210704705
8,4695.045421868387
9,4054.692191636903
10,4226.34574635114
11,4581.333445994346
12,4637.157783647513
13,4695.946407665155
14,5191.1084270782885
15,5331.891626026647
16,4256.10469123214
17,3984.994440763584
18,3407.0584992573527
19,3657.893888214382
20,4164.855686993064
21,5530.571085710055
22,5456.744031592914
23,4103.485832187516
24,3451.4107351767475
25,4560.416998817951
26,3358.260814538891
27,4293.033905498968
28,4083.0253529948964
29,4775.280684788159
30,3539.164534438458
31,4709.331720647047
32,3587.258505768514
33,4867.047470792785
34,3973.5811895972074
35,3285.7296508998766
36,4638.923635428528
37,3569.1661451788987
38,4026.654292958293
39,4683.594902084463
40,4236.999006325008
41,3458.140327394901
42,4144.612555756841
43,5406.914805421753
44,3661.216524480391
45,4743.882702166983
46,3430.983792694677
47,4257.352257379706
48,4729.012772510279
49,5605.105086379868
50,3611.046965796294
51,4142.642289204566
52,3469.573622709602
53,4036.9479747231135
54,4262.310766420115
55,4399.23594179659
56,4743.546619173459
57,4073.3179604606453
58,4707.869244023801
59,3541.998013471494
60,4147.797272582216
61,3438.232766791494
62,3982.6184010273405
63,5504.570923123856
64,3492.838873641798
65,4271.85243626279
66,4178.4677936017615
67,4622.399660282216
68,3925.2335229419523
69,3864.561547051533
70,4718.941685284308
71,3300.4327163383296
72,3512.637600430328
73,3501.637148821784
74,5453.05887634333
75,4220.511570280746
76,3340.3697247282
77,3930.3025869662924
78,5396.9089541367175
79,4649.572791351777
80,4222.412402452641
81,3444.9869778439447
82,4192.918143200503
83,4726.0942879545655
84,5235.001162540741
85,4237.875051085394
86,5362.2278323848195
87,4446.615433387558
88,3507.760361244667
89,5233.025513723214
90,4550.310985627446
91,3684.771045440331
92,3573.935122116504
93,3521.30354355563
94,3338.259852895987
95,3567.477357781481
96,3434.7675772951875
97,3424.061905697149
98,4711.265185257105
99,4302.257799574512
100,3630.529493027329
101,3301.9224276629084
102,3242.0416703202754
103,5358.215459210362
104,5867.892900272571
105,3331.788780743219
106,5366.328771874953
107,5400.963082835512
108,3979.559244862776
109,3272.618909564746
110,4507.812411773436
111,3230.7602372209976
112,4124.237728568606
113,4049.545606738359
114,5213.50084087043
115,3794.2209595492072
116,3554.819697975689
117,3520.369895009856
118,4536.74412385018
119,4061.159248409792
120,4048.678755591114
121,5360.876147577162
122,3348.128514750508
123,4328.645651223258
124,4032.140911832128
125,4195.446036728722
126,5258.592602693006
127,4133.3024096285235
128,3403.5757221183176
129,3822.9917362458427
130,4245.9528783458345
131,4032.3500039703335
132,5386.697576248027
133,5310.419969779803
134,5337.655298546236
135,4005.3974752596396
136,3464.0284309145336
137,3446.707714445077
138,4571.670756461161
139,3593.2259931132567
140,4072.5919389549877
141,4512.197312339171
142,3126.8236894203674
143,3474.7923257952293
144,4255.290889540042
145,3445.540107187646
146,4623.7671593316945
147,3520.335948007576
148,5473.004389297337
149,4265.147773905765
150,5352.952207170497
151,3483.540797101806
152,4843.525714768661
153,5371.72501771504
154,4352.169660552109
155,5637.323188389533
156,3566.457156767078
157,4025.816738397671
158,3481.874636155195
159,3438.122694004127
160,4214.300810834246
161,3482.8260130027647
162,3434.631374082978
163,3281.32224228899
164,5369.754642450012
165,3326.8991288638017
166,5452.84884434995
167,4745.387049390398
168,4112.543974165439
169,3833.240281834534
170,5575.487969047036
171,3532.037076707299
172,5350.669468540432
173,3303.8394230818385
174,3499.955603174713
175,4150.988559254473
176,4121.714943510454
177,4589.860862672065
178,5420.187339102169
179,3460.522568266807
180,4067.8865430421743
181,4265.395233147776
182,3954.343973943294
183,4319.9560881987045
184,4525.8379922219165
185,4313.0344302970225
186,4885.927234775869
187,5324.109960708486
188,3450.5715880797516
189,3090.8597557257253
190,4388.432633757564
191,3539.2372337310912
192,3453.892030124636
193,4163.587324675438
194,4872.202177850245
195,5484.825656610036
196,4326.019584081103
197,5289.678380583988
198,3394.5662671624586
199,3428.2899464281145
200,3995.1239535225873
201,4624.002728952446
202,3981.5244177764266
203,4691.865643928897
204,4353.3480575954845
205,3331.810875779385
206,3387.600061671032
207,4150.4952775693655
208,4834.700444396896
209,4752.699596498309
210,3305.125594633615
211,3394.757283927254
212,3417.4317503022867
213,3706.213123715391
214,3663.0426637801793
215,4053.0913612877553
216,5433.217877641307
217,3726.748206791412
218,4101.29173284384
219,4047.032554885279
220,3581.1142317934023
221,3471.4482589179806
222,4632.327722029742
223,4097.427942990159
224,4749.715971506501
225,4673.970900849982
226,4067.174946094314
227,4122.997559552394
