id,Body Mass (g)
0,4624.88340546885
1,5474.353811803067
2,3541.903804700598
3,3499.404891231831
4,3521.107211802755
5,3771.5483312494393
6,4587.454562434683
7,5198.352616863576
8,4762.126883033939
9,4056.8418172564857
10,4092.194510454854
11,4587.454562434683
12,4762.126883033939
13,4760.442346492049
14,5023.94611154807
15,5298.598571347065
16,3834.4893908249737
17,4017.5721572637003
18,3499.684244825087
19,3545.407514094275
20,4052.875223757392
21,5474.353811803067
22,5474.353811803067
23,4361.86213765617
24,3532.908764671558
25,4587.454562434683
26,3427.1161711574114
27,4050.960365282534
28,4031.660260734304
29,4582.97214036329
30,3526.4003665646596
31,4802.748563279703
32,3613.855110971215
33,4932.606919527236
34,3720.6903571906164
35,3455.414805047416
36,4326.83774929014
37,3513.266928683097
38,4001.9849503039936
39,4583.441770488068
40,4212.134298820431
41,3504.262143375812
42,4048.261117162233
43,5382.495892228127
44,3547.017630487385
45,4583.441770488068
46,3443.3704552305658
47,4067.3954629918426
48,4762.126883033939
49,5474.353811803067
50,3803.0330915138516
51,4049.336135438304
52,3509.0685770736927
53,3822.0603785002986
54,4074.9011448100246
55,4063.4242389089072
56,4583.441770488068
57,4049.336135438304
58,4762.126883033939
59,3548.3273070701352
60,3754.039876682065
61,3511.767825193993
62,3721.9149203345874
63,5474.353811803067
64,3518.0733623809774
65,4074.9011448100246
66,4050.8466144500335
67,4751.711127629213
68,3960.1105901725955
69,3719.7078686143777
70,4769.289538313442
71,3443.3704552305658
72,3511.767825193993
73,3560.7985300919986
74,5474.353811803067
75,4616.500136776757
76,3443.3704552305658
77,3771.4200432260473
78,5376.255714105595
79,4751.711127629213
80,4066.688784363453
81,3543.4664650495083
82,4050.8466144500335
83,4751.711127629213
84,5271.0539140787605
85,4074.9011448100246
86,5330.003339828125
87,4067.3954629918426
88,3538.9361053458597
89,5303.473571347065
90,4593.857525892794
91,3586.1381833373125
92,3538.0596244838844
93,3497.045576016256
94,3451.250524395118
95,3645.452003868765
96,3502.0228396561815
97,3556.9618939415113
98,4762.126883033939
99,4085.9451194237727
100,3655.9624871772958
101,3485.1622209728102
102,3423.7137495049897
103,5389.299059648941
104,5474.353811803067
105,3526.0174222824403
106,5369.547380772262
107,5397.150990990709
108,3731.668604764194
109,3423.7137495049897
110,4587.454562434683
111,3423.7137495049897
112,4043.471767936898
113,4048.5053291612476
114,5273.3997071745525
115,3716.2463744440906
116,3527.689633455177
117,3589.0405152749327
118,4058.1869703903885
119,4049.2085026933682
120,3775.946810401866
121,5393.484169044539
122,3443.3704552305658
123,4602.136954503557
124,4008.0875945437606
125,4062.4372711836504
126,5193.39677132023
127,4047.5820689954876
128,3427.1161711574114
129,3777.7920542992815
130,4055.209410581777
131,4016.0730537745967
132,5401.571669044539
133,5255.632803012498
134,5303.473571347065
135,4025.4124403833594
136,3508.6890301323724
137,3458.8738933665045
138,4754.039383033938
139,3679.875128439044
140,4047.780365282534
141,4587.454562434683
142,3423.7137495049897
143,3525.9136455006355
144,4576.450233789629
145,3515.7797652949184
146,4587.454562434683
147,3525.6414428135013
148,5441.699153481406
149,4072.2018966897235
150,5292.2545608390965
151,3501.2486154032285
152,4873.731646518885
153,5467.645478469734
154,4054.9315893654693
155,5474.353811803067
156,3538.0596244838844
157,3842.788620459363
158,3504.262143375812
159,3516.1947119505535
160,4059.8813817660503
161,3532.985975332486
162,3624.148043871647
163,3435.7580993218394
164,5298.598571347065
165,3443.3704552305658
166,5474.353811803067
167,4858.540444189522
168,4049.336135438304
169,3956.9872568392625
170,5474.353811803067
171,3625.76753488087
172,5369.152011776234
173,3423.7137495049897
174,3486.2896165602638
175,4058.3522962682146
176,4624.88340546885
177,4577.038807029957
178,5396.696669044539
179,3521.107211802755
180,4050.960365282534
181,4616.500136776757
182,3737.057811493137
183,4617.346228426801
184,4587.454562434683
185,4078.4394376055907
186,4965.1214108830245
187,5193.39677132023
188,3521.107211802755
189,3423.7137495049897
190,4053.068247152842
191,3634.1427137705514
192,3467.893629937666
193,4046.536138259557
194,4838.972622734741
195,5474.353811803067
196,4055.918557090726
197,5297.1295608390965
198,3497.6797217233902
199,3499.684244825087
200,4041.8391386850567
201,4762.126883033939
202,4041.8391386850567
203,4754.039383033938
204,4059.1831025452716
205,3451.250524395118
206,3454.6529460475404
207,3791.1698444336125
208,4873.731646518885
209,4751.711127629213
210,3505.987954552812
211,3443.3704552305658
212,3514.106420025088
213,3555.0070785101216
214,3659.0557484246474
215,4056.8418172564857
216,5398.7333851468375
217,3686.463245873095
218,4372.08660735314
219,4056.8418172564857
220,3546.8688867019296
221,3477.1211570348537
222,4754.039383033938
223,4361.86213765617
224,4768.52984649205
225,4577.038807029957
226,3814.8882203889425
227,4050.960365282534
