id,Body Mass (g)
0,4378.571428571428
1,5537.5
2,3675.0
3,3546.296296296296
4,3570.3125
5,3770.744680851064
6,4692.391304347826
7,5007.142857142857
8,4880.0
9,4180.7692307692305
10,3900.0
11,4743.181818181818
12,4880.0
13,4880.0
14,5007.142857142857
15,5016.666666666667
16,3717.8571428571427
17,3900.0
18,3557.2916666666665
19,3675.0
20,3956.818181818182
21,5550.0
22,5481.25
23,3785.714285714286
24,3557.2916666666665
25,4692.391304347826
26,3436.1111111111113
27,3900.0
28,3900.0
29,4572.916666666667
30,3675.0
31,4880.0
32,3716.0
33,4880.0
34,3716.0
35,3350.0
36,3814.0625
37,3570.3125
38,3900.0
39,4572.916666666667
40,3900.0
41,3570.3125
42,3956.818181818182
43,5537.5
44,3570.3125
45,4378.571428571428
46,3557.2916666666665
47,3956.818181818182
48,4880.0
49,5597.368421052632
50,3717.8571428571427
51,3956.818181818182
52,3557.2916666666665
53,3717.8571428571427
54,3956.818181818182
55,3890.909090909091
56,4572.916666666667
57,3956.818181818182
58,4880.0
59,3650.0
60,3572.222222222222
61,3570.3125
62,3716.0
63,5550.0
64,3557.2916666666665
65,3956.818181818182
66,3900.0
67,4350.0
68,3900.0
69,3570.3125
70,4880.0
71,3090.0
72,3557.2916666666665
73,3650.0
74,5511.538461538462
75,4258.333333333333
76,3436.1111111111113
77,3436.1111111111113
78,5207.142857142857
79,4350.0
80,3956.818181818182
81,3675.0
82,3900.0
83,4350.0
84,5008.333333333333
85,3956.818181818182
86,5016.666666666667
87,3890.909090909091
88,3557.2916666666665
89,5033.333333333333
90,4777.777777777777
91,3570.3125
92,3557.2916666666665
93,3675.0
94,3436.1111111111113
95,3546.296296296296
96,3557.2916666666665
97,3436.1111111111113
98,4880.0
99,3956.818181818182
100,3570.3125
101,3546.296296296296
102,3350.0
103,5207.142857142857
104,5537.5
105,3546.296296296296
106,5028.571428571428
107,5305.0
108,3717.8571428571427
109,3350.0
110,4777.777777777777
111,3546.296296296296
112,3900.0
113,3900.0
114,5008.333333333333
115,3557.2916666666665
116,3570.3125
117,3546.296296296296
118,3900.0
119,3956.818181818182
120,3717.8571428571427
121,5537.5
122,3436.1111111111113
123,4692.391304347826
124,3717.8571428571427
125,3975.0
126,5007.142857142857
127,3900.0
128,3350.0
129,3717.8571428571427
130,3956.818181818182
131,3900.0
132,5511.538461538462
133,5007.142857142857
134,5033.333333333333
135,4180.7692307692305
136,3570.3125
137,3436.1111111111113
138,4880.0
139,3570.3125
140,3956.818181818182
141,4692.391304347826
142,3546.296296296296
143,3557.2916666666665
144,4692.391304347826
145,3557.2916666666665
146,4777.777777777777
147,3557.2916666666665
148,5550.0
149,3956.818181818182
150,5207.142857142857
151,3350.0
152,4880.0
153,5537.5
154,3890.909090909091
155,5550.0
156,3557.2916666666665
157,3717.8571428571427
158,3570.3125
159,3557.2916666666665
160,3956.818181818182
161,3557.2916666666665
162,3570.3125
163,3337.5
164,5028.571428571428
165,3557.2916666666665
166,5550.0
167,4880.0
168,4180.7692307692305
169,4160.0
170,5550.0
171,3570.3125
172,5537.5
173,3546.296296296296
174,3436.1111111111113
175,3900.0
176,4378.571428571428
177,4316.666666666667
178,5305.0
179,3570.3125
180,3956.818181818182
181,4258.333333333333
182,3717.8571428571427
183,4777.777777777777
184,4777.777777777777
185,3956.818181818182
186,4880.0
187,5007.142857142857
188,3570.3125
189,3393.75
190,3900.0
191,3650.0
192,3650.0
193,3900.0
194,4810.294117647059
195,5550.0
196,3900.0
197,5207.142857142857
198,3570.3125
199,3557.2916666666665
200,4180.7692307692305
201,4880.0
202,4242.045454545455
203,4880.0
204,3900.0
205,3557.2916666666665
206,3557.2916666666665
207,3770.744680851064
208,4880.0
209,4692.391304347826
210,3436.1111111111113
211,3350.0
212,3557.2916666666665
213,3572.222222222222
214,3570.3125
215,4242.045454545455
216,5305.0
217,3716.0
218,3785.714285714286
219,4242.045454545455
220,3570.3125
221,3350.0
222,4880.0
223,3785.714285714286
224,4880.0
225,4316.666666666667
226,3717.8571428571427
227,4160.0
