id,Body Mass (g)
0,4306.638260815678
1,5750.786223432916
2,3642.6955747891648
3,3386.5302038390587
4,3265.348016800197
5,4119.811534332533
6,4606.97053652967
7,5157.2470930001455
8,4750.795872672447
9,3848.673984475362
10,4228.009083049437
11,4632.286087376523
12,4723.011907451429
13,4716.035496325494
14,5103.871204805408
15,5150.53936794279
16,4225.1640505169435
17,4010.3187564689174
18,3419.217782574641
19,3551.654833768199
20,4145.995637425466
21,5518.037918068837
22,5455.773624621801
23,4025.099660173977
24,3514.9974655699407
25,4634.53117678689
26,3388.2822972197123
27,4183.19150095615
28,4070.156678965588
29,4746.119874329147
30,3615.3505400482954
31,4776.643093730113
32,3614.167200450929
33,5013.746792209253
34,3970.0392645453135
35,3180.264735264154
36,4644.553609200427
37,3563.7088265992593
38,3872.9579501238077
39,4601.562030380139
40,4098.484478540988
41,3503.285548610461
42,3971.55953818627
43,5464.05761401629
44,3632.4861544464607
45,4664.10701867352
46,3327.090039289609
47,4299.801657294959
48,4738.771071762105
49,5506.35108183677
50,3659.6243193444307
51,4075.0236634754583
52,3271.0335547337
53,4016.2546279168732
54,4271.6770608796605
55,4231.005987706353
56,4700.434122400923
57,4119.122808995423
58,4812.250717619801
59,3676.4695422360955
60,4109.399731148079
61,3456.8365035302304
62,3955.4616773169887
63,5547.823735591504
64,3305.1873634036247
65,4260.3702156440495
66,4184.3509374061705
67,4496.210097763119
68,3857.9223051636386
69,3812.573422505267
70,4728.083300689119
71,3108.634951431153
72,3445.0226316218623
73,3519.785103478407
74,5402.406826221243
75,4084.120395347146
76,3323.548568220648
77,3804.159996338983
78,5394.998321897009
79,4585.383206459473
80,4158.589883697506
81,3367.8002630256037
82,4277.09009257125
83,4672.069436680853
84,5245.238891901658
85,4132.507682782558
86,5194.5379871985115
87,4310.386120981089
88,3467.855363663653
89,5189.367247300397
90,4605.682727334984
91,3536.38022944087
92,3541.1375264476237
93,3671.7028539600888
94,3331.7419875640326
95,3547.4951348286295
96,3463.1405420486412
97,3100.5635531852595
98,4757.929787284024
99,4307.761047534508
100,3706.236762769734
101,3328.6827991410964
102,3179.0559589397144
103,5380.24197686825
104,5893.477239711512
105,3271.790547024957
106,5297.957158134455
107,5252.67179194731
108,4032.7827850684835
109,3294.9577051050674
110,4563.197600188979
111,3207.1297600637577
112,4171.023412230803
113,3887.656527729403
114,5254.679930784775
115,3673.5298836284196
116,3672.7420495894344
117,3495.8945121966412
118,4329.4142057587715
119,3996.8736652750695
120,3934.722551432488
121,5288.088961769104
122,3386.1200835832287
123,4358.886940274953
124,3942.3741991628044
125,4180.132336843426
126,5109.784510262081
127,4173.676762389345
128,3373.8785970438958
129,3803.769116685463
130,3994.66893229614
131,3973.0544600985136
132,5332.514940684346
133,5156.632271508911
134,5234.136131975538
135,3788.027023713836
136,3511.579457930976
137,3400.35483446572
138,4659.409071450765
139,3587.5422183518012
140,4001.235309851446
141,4557.086900215084
142,3181.0850692600325
143,3254.2130640387477
144,4244.617071809176
145,3500.136840989273
146,4715.960821061534
147,3538.231093371036
148,5380.007334062333
149,4146.624303981847
150,5237.3175322648
151,3162.2247606882793
152,4861.428759442285
153,5404.797828479648
154,4170.856537277065
155,5520.9959787469725
156,3487.555369281713
157,3954.9866884994244
158,3570.1055956095006
159,3410.85640906079
160,3993.121000936264
161,3507.766693704355
162,3417.4041284544264
163,3079.3967990579968
164,5199.545355874627
165,3333.8117711563373
166,5459.380268504752
167,4787.219144204382
168,3933.2361647167777
169,3599.6362162817404
170,5612.904196047803
171,3516.586137612333
172,5386.2050287337615
173,3318.0616532474096
174,3310.8807061018183
175,4095.5753501436498
176,4081.08480455413
177,4465.949970958563
178,5289.848982100012
179,3325.4096812366406
180,4040.7884985775145
181,4249.11710989425
182,3895.21225701146
183,4435.057904886762
184,4582.0209208687575
185,4372.27451856541
186,4939.919442611082
187,5186.79768351997
188,3402.7793630957767
189,3037.1902476825558
190,4143.43850292978
191,3559.9584380216556
192,3599.296961749735
193,4170.481149810151
194,4925.958800061417
195,5340.564960125245
196,4371.265022463498
197,5301.643527332402
198,3461.788831705857
199,3415.777917840084
200,3899.2656348320115
201,4675.299232612892
202,3868.8858965058207
203,4736.101764423066
204,4367.610822166998
205,3274.08374017552
206,3521.0668766753365
207,4112.163448676807
208,4855.850250222399
209,4716.082779767333
210,3267.2029304013677
211,3343.041879517484
212,3261.9661416427375
213,3809.8826458508493
214,3722.576861337952
215,3957.259914534921
216,5307.260354582007
217,3742.6395997514064
218,4026.0153193867172
219,3946.1395362247486
220,3383.11694663847
221,3345.269878729313
222,4653.28864864734
223,4009.9367073595567
224,4809.923885513241
225,4589.844813757653
226,4011.4878644575447
227,4026.8605547853167
