id,Body Mass (g)
0,4092.360841935842
1,5635.213187221276
2,3538.672735965016
3,3451.4293185980687
4,3531.2642042189837
5,4074.9464979464974
6,4626.421168782199
7,5392.190904275464
8,4659.871726149668
9,4116.059701409701
10,3941.8934507485988
11,4529.801607787638
12,4755.928892594335
13,4772.685502732563
14,4978.468260334437
15,5450.40447126403
16,4074.568351093351
17,4000.192475579976
18,3451.9403909815674
19,3501.986264103544
20,3956.54268925519
21,5481.6085059548295
22,5592.7146246727125
23,4095.8172133422136
24,3639.5701011814986
25,4633.679181602712
26,3505.532093723271
27,3939.194312631813
28,3981.5641053391064
29,4612.368185654215
30,3508.4053117225913
31,4711.494192572133
32,3628.88292957043
33,4662.486103439045
34,4005.1265664890666
35,3348.6970076900234
36,4759.572126566244
37,3527.4414047961845
38,4037.2209387834387
39,4737.415807884926
40,3871.437967343115
41,3510.3916753589547
42,3908.4810607692953
43,5187.922837619896
44,3494.7786693698454
45,4652.267447911566
46,3438.9518628430396
47,3913.39417943168
48,4674.629220044662
49,5520.0048235261465
50,3703.9472212836176
51,4067.7988483738486
52,3360.3930033610186
53,4051.123508191156
54,3964.875421800422
55,4026.927633477634
56,4693.146019340138
57,4014.209142246643
58,4738.669643510086
59,3682.210822959721
60,4103.059318459318
61,3473.3817186489982
62,4005.1265664890666
63,5494.52841659974
64,3308.9560985991143
65,3899.9783064158073
66,3941.586387223888
67,4700.102395480338
68,4023.415148740148
69,4020.912524975025
70,4676.337644953087
71,3308.9560985991143
72,3461.9877792550587
73,3588.190050676448
74,5489.942702314026
75,4066.747263847264
76,3433.703210351739
77,3988.9453546453547
78,5384.1304795694505
79,4694.5908570187985
80,3912.3823870573874
81,3491.8018873691663
82,3973.110991785992
83,4683.99700781245
84,5105.269390821597
85,3925.4613899988904
86,5437.453268055473
87,3975.5126526251534
88,3456.3403909815675
89,5116.570060984767
90,4411.118506493507
91,3510.265595882875
92,3499.4256580429374
93,3683.8450179314154
94,3420.4889246374537
95,3496.0624354811857
96,3480.0519206691997
97,3338.5015531445683
98,4658.801243854186
99,3926.022245809747
100,3653.0280289155285
101,3449.2626519314017
102,3388.256171279701
103,5358.99551755434
104,5639.763187221276
105,3451.4293185980687
106,5473.424183088154
107,5456.126657411216
108,4032.5242740919207
109,3420.4889246374537
110,4130.9313499001
111,3449.5539551951324
112,3935.0506729381736
113,4116.059701409701
114,5147.869137153695
115,3901.134940753691
116,3517.20293077021
117,3602.4156729708207
118,3976.2280622155627
119,4103.821606171606
120,3843.9601719359066
121,5240.942899584075
122,3463.010593001769
123,3928.020074125222
124,4054.579478854479
125,3900.227440614941
126,5378.812474372035
127,4017.0112332112335
128,3453.9441067102844
129,3848.810754278402
130,3975.9613095238096
131,3965.8554958929967
132,5359.804765495942
133,5384.743419570626
134,5314.189754036813
135,4068.4646894771895
136,3517.0618773791566
137,3425.054761578291
138,4711.76209827754
139,3644.0050130425134
140,4117.229949217449
141,4637.32474021077
142,3479.5539551951324
143,3338.5015531445683
144,3928.020074125222
145,3545.1692120379616
146,4662.63602059705
147,3450.431300072477
148,5520.114780236102
149,3918.8150210900217
150,5417.704868089428
151,3459.911098052275
152,4797.144677218206
153,5433.880467326791
154,3965.0292110667124
155,5511.856233227557
156,3499.4256580429374
157,3993.258073625722
158,3505.7666753589547
159,3535.7642042189837
160,4100.421615884116
161,3525.7406406093905
162,3650.8613622488615
163,3308.9560985991143
164,5450.40447126403
165,3465.1052034974828
166,5489.942702314026
167,4757.613261003703
168,4053.062845487846
169,3817.0908953791304
170,5539.273871145194
171,3541.1884095071596
172,5400.7870232708465
173,3443.0804703466474
174,3481.7131760804555
175,3910.044720557221
176,3988.3902164828637
177,4595.602998064029
178,5461.618756978315
179,3487.9462208135
180,3979.1509504384508
181,4118.0088272838275
182,3834.8708154590504
183,4229.18372118078
184,4163.7864781052285
185,3946.658356920858
186,4790.702125325654
187,5431.26392014848
188,3509.2019206692
189,3273.9770491763147
190,3963.9565073815083
191,4044.7859973359987
192,3692.435927022325
193,3902.6138764013767
194,4767.531786922229
195,5520.114780236102
196,4017.853986291487
197,5397.764219685544
198,3508.4053117225913
199,3456.3403909815675
200,4018.0942377067367
201,4598.420940823883
202,4090.137586025086
203,4701.876460304402
204,3902.972354034855
205,3481.6064328237117
206,3890.134314011151
207,4095.0266261516254
208,4807.539854263385
209,4693.027166542608
210,3545.0142517205027
211,3428.500976474506
212,3376.4198792628945
213,3509.912418504698
214,3652.0038447663446
215,4140.457137307137
216,5453.2423054886285
217,3696.529602342103
218,4025.9774459200935
219,4102.296926684427
220,3463.3826593749386
221,3455.887288528466
222,4714.591890707333
223,4095.8172133422136
224,4766.143511390571
225,4559.033996232527
226,4002.963461538461
227,3953.6497599622608
