id,Body Mass (g)
0,4321.0
1,5745.0
2,3633.0
3,3407.0
4,3166.0
5,4118.0
6,4612.0
7,5158.0
8,4776.0
9,3805.0
10,4304.0
11,4616.0
12,4744.0
13,4703.0
14,5053.0
15,5122.0
16,4192.0
17,4052.0
18,3429.0
19,3514.0
20,4192.0
21,5545.0
22,5455.0
23,4009.0
24,3532.0
25,4630.0
26,3432.0
27,4139.0
28,4121.0
29,4742.0
30,3617.0
31,4788.0
32,3609.0
33,5047.0
34,3952.0
35,3104.0
36,4591.0
37,3570.0
38,3897.0
39,4565.0
40,4138.0
41,3527.0
42,3920.0
43,5460.0
44,3657.0
45,4641.0
46,3321.0
47,4340.0
48,4732.0
49,5498.0
50,3721.0
51,4081.0
52,3218.0
53,4074.0
54,4313.0
55,4179.0
56,4685.0
57,4149.0
58,4817.0
59,3759.0
60,4093.0
61,3460.0
62,3939.0
63,5564.0
64,3238.0
65,4300.0
66,4261.0
67,4501.0
68,3888.0
69,3814.0
70,4741.0
71,3028.0
72,3424.0
73,3563.0
74,5400.0
75,4099.0
76,3318.0
77,3786.0
78,5391.0
79,4635.0
80,4180.0
81,3280.0
82,4358.0
83,4697.0
84,5256.0
85,4165.0
86,5184.0
87,4308.0
88,3477.0
89,5148.0
90,4567.0
91,3493.0
92,3517.0
93,3740.0
94,3320.0
95,3544.0
96,3460.0
97,2992.0
98,4777.0
99,4337.0
100,3669.0
101,3347.0
102,3150.0
103,5386.0
104,5913.0
105,3279.0
106,5308.0
107,5239.0
108,4094.0
109,3289.0
110,4536.0
111,3233.0
112,4259.0
113,3867.0
114,5290.0
115,3681.0
116,3686.0
117,3535.0
118,4267.0
119,3996.0
120,3879.0
121,5232.0
122,3393.0
123,4479.0
124,3952.0
125,4203.0
126,5104.0
127,4230.0
128,3390.0
129,3839.0
130,3972.0
131,4019.0
132,5313.0
133,5152.0
134,5188.0
135,3761.0
136,3509.0
137,3397.0
138,4687.0
139,3572.0
140,3996.0
141,4552.0
142,3236.0
143,3167.0
144,4353.0
145,3528.0
146,4693.0
147,3540.0
148,5360.0
149,4163.0
150,5264.0
151,3140.0
152,4845.0
153,5411.0
154,4170.0
155,5538.0
156,3464.0
157,3981.0
158,3597.0
159,3371.0
160,3953.0
161,3529.0
162,3369.0
163,2995.0
164,5172.0
165,3330.0
166,5455.0
167,4765.0
168,3914.0
169,3569.0
170,5618.0
171,3514.0
172,5400.0
173,3335.0
174,3275.0
175,4144.0
176,4115.0
177,4458.0
178,5269.0
179,3283.0
180,4061.0
181,4259.0
182,3862.0
183,4559.0
184,4553.0
185,4440.0
186,4922.0
187,5181.0
188,3358.0
189,3013.0
190,4129.0
191,3626.0
192,3690.0
193,4241.0
194,4967.0
195,5307.0
196,4368.0
197,5331.0
198,3461.0
199,3425.0
200,3881.0
201,4670.0
202,3845.0
203,4738.0
204,4358.0
205,3233.0
206,3587.0
207,4119.0
208,4823.0
209,4729.0
210,3292.0
211,3330.0
212,3188.0
213,3743.0
214,3752.0
215,3930.0
216,5328.0
217,3769.0
218,4062.0
219,3932.0
220,3304.0
221,3357.0
222,4661.0
223,3991.0
224,4796.0
225,4590.0
226,3997.0
227,4043.0
