id,Body Mass (g)
0,4021.0
1,5486.0
2,3552.0
3,3510.0
4,3526.0
5,4004.0
6,4681.0
7,5347.0
8,4705.0
9,3999.0
10,3873.0
11,4576.0
12,4718.0
13,4732.0
14,5188.0
15,5407.0
16,4007.0
17,4007.0
18,3478.0
19,3539.0
20,3995.0
21,5458.0
22,5464.0
23,3975.0
24,3636.0
25,4673.0
26,3470.0
27,3996.0
28,3991.0
29,4705.0
30,3556.0
31,4713.0
32,3692.0
33,4727.0
34,3927.0
35,3428.0
36,4769.0
37,3565.0
38,3998.0
39,4754.0
40,3873.0
41,3514.0
42,3847.0
43,5356.0
44,3530.0
45,4732.0
46,3463.0
47,3958.0
48,4701.0
49,5470.0
50,3664.0
51,4029.0
52,3405.0
53,3948.0
54,3990.0
55,4041.0
56,4739.0
57,4008.0
58,4717.0
59,3677.0
60,4001.0
61,3497.0
62,3927.0
63,5455.0
64,3404.0
65,3961.0
66,3911.0
67,4736.0
68,3913.0
69,3865.0
70,4712.0
71,3402.0
72,3498.0
73,3641.0
74,5470.0
75,3993.0
76,3455.0
77,3917.0
78,5406.0
79,4763.0
80,3973.0
81,3507.0
82,3971.0
83,4754.0
84,5304.0
85,3943.0
86,5404.0
87,3991.0
88,3470.0
89,5337.0
90,4391.0
91,3557.0
92,3527.0
93,3625.0
94,3446.0
95,3544.0
96,3514.0
97,3421.0
98,4701.0
99,3944.0
100,3616.0
101,3512.0
102,3423.0
103,5386.0
104,5486.0
105,3515.0
106,5422.0
107,5420.0
108,3888.0
109,3429.0
110,4069.0
111,3453.0
112,3909.0
113,4002.0
114,5288.0
115,3808.0
116,3538.0
117,3693.0
118,3994.0
119,4001.0
120,3821.0
121,5353.0
122,3474.0
123,3890.0
124,4005.0
125,3926.0
126,5342.0
127,4036.0
128,3456.0
129,3771.0
130,3919.0
131,3943.0
132,5358.0
133,5391.0
134,5341.0
135,4038.0
136,3535.0
137,3453.0
138,4707.0
139,3598.0
140,4037.0
141,4680.0
142,3474.0
143,3421.0
144,3873.0
145,3609.0
146,4697.0
147,3465.0
148,5469.0
149,3985.0
150,5384.0
151,3481.0
152,4800.0
153,5390.0
154,3951.0
155,5468.0
156,3526.0
157,3942.0
158,3511.0
159,3552.0
160,4035.0
161,3566.0
162,3620.0
163,3404.0
164,5408.0
165,3498.0
166,5467.0
167,4739.0
168,4041.0
169,3865.0
170,5467.0
171,3573.0
172,5362.0
173,3457.0
174,3511.0
175,3918.0
176,3934.0
177,4671.0
178,5424.0
179,3525.0
180,3977.0
181,3985.0
182,3756.0
183,4245.0
184,4094.0
185,3968.0
186,4800.0
187,5404.0
188,3537.0
189,3365.0
190,3999.0
191,4013.0
192,3627.0
193,3921.0
194,4792.0
195,5466.0
196,4029.0
197,5300.0
198,3537.0
199,3461.0
200,3956.0
201,4609.0
202,3998.0
203,4714.0
204,3952.0
205,3504.0
206,3958.0
207,4006.0
208,4792.0
209,4749.0
210,3556.0
211,3439.0
212,3429.0
213,3542.0
214,3692.0
215,4003.0
216,5425.0
217,3783.0
218,3957.0
219,4065.0
220,3494.0
221,3468.0
222,4703.0
223,4027.0
224,4745.0
225,4663.0
226,4018.0
227,3972.0
